순번,법령MST,소관부처코드,소관부처명,법령ID,법령명,공포일자,공포번호,시행일자,법령구분코드,법령구분명,법령분야코드,법령분야명
1494,266257,1352000,보건복지부,6940,노인복지법 시행규칙,20241101,제1069호,20241101,A0050,보건복지부령,38050000,第5章 兒童·老人·障碍者·母子福祉
1497,266255,1352000,보건복지부,14768,노인 일자리 및 사회활동 지원에 관한 법률 시행규칙,20241101,제1069호,20241101,A0050,보건복지부령,38050000,第5章 兒童·老人·障碍者·母子福祉
2426,266259,1250000,통일부,7303,북한이탈주민의 보호 및 정착지원에 관한 법률 시행규칙,20241101,제133호,20241101,A0070,통일부령,1020100,第1節 國土·統一
2949,266261,1192000,해양수산부,7545,수산관계법령 위반행위에 대한 행정처분의 기준과 절차에 관한 규칙,20241101,제699호,20241101,A0071,해양수산부령,27030000,第3章 水産業
4245,266247,1421000,중소벤처기업부,12958,중소벤처기업부 소관 비영리법인의 설립 및 감독에 관한 규칙,20241101,제95호,20241101,A0105,중소벤처기업부령,28010000,第1章 行政組織·通則
5377,266213,1480000,환경부,10545,환경분야 시험ㆍ검사 등에 관한 법률 시행규칙,20241101,제1126호,20241101,A0074,환경부령,39020000,第2章 環境保全
152,266195,1051000,기획재정부,5308,개별소비세법 시행령,20241031,제34976호,20241101,A0007,대통령령,20040000,第4章 間接稅
749,266185,1051000,기획재정부,2619,교통ㆍ에너지ㆍ환경세법 시행령,20241031,제34977호,20241101,A0007,대통령령,20040000,第4章 間接稅
1493,266189,1352000,보건복지부,3174,노인복지법 시행령,20241031,제34978호,20241101,A0007,대통령령,38050000,第5章 兒童·老人·障碍者·母子福祉
1496,266187,1352000,보건복지부,14765,노인 일자리 및 사회활동 지원에 관한 법률 시행령,20241031,제34978호,20241101,A0007,대통령령,38050000,第5章 兒童·老人·障碍者·母子福祉
1510,266191,1352000,보건복지부,12411,노후준비 지원법 시행령,20241031,제34978호,20241101,A0007,대통령령,38050000,第5章 兒童·老人·障碍者·母子福祉
1817,266243,1450000,산업통상자원부,7095,도시가스사업법 시행규칙,20241031,제578호,20241031,A0102,산업통상자원부령,32030000,第3章 가 스
2525,266193,1352000,보건복지부,3754,사회보장기본법 시행령,20241031,제34978호,20241101,A0007,대통령령,38020000,第2章 社會福祉通則
3133,266245,1430000,특허청,7656,실용신안법 시행규칙,20241031,제580호,20241101,A0102,산업통상자원부령,30020000,第2章 特許·實用新案
3468,266209,1079960,원자력안전위원회,11880,원자력안전법 시행규칙,20241031,제1990호,20241101,A0009,총리령,18030000,第3章 原子力
3751,266211,1480000,환경부,7951,자연환경보전법 시행규칙,20241031,제1127호,20241031,A0074,환경부령,39020000,第2章 環境保全
4756,266241,1430000,특허청,8561,특허법 시행규칙,20241031,제579호,20241101,A0102,산업통상자원부령,30020000,第2章 特許·實用新案
782,266183,1492000,고용노동부,11273,국가기술자격법 시행규칙,20241030,제427호,20241030,A0097,고용노동부령,40060000,第6章 職業訓練
328,266123,1320000 1741000,"경찰청,행정안전부",2215,경찰청과 그 소속기관 직제,20241029,제34970호,20241029,A0007,대통령령,11010000,第1章 行政組織·通則
329,266177,1320000,경찰청,6255,경찰청과 그 소속기관 직제 시행규칙,20241029,제521호,20241029,A0107,행정안전부령,11010000,第1章 行政組織·通則
1041,266143,1741000,행정안전부,2883,국새규정,20241029,제34967호,20241029,A0007,대통령령,1020200,第2節 國號·國旗·年號등
1200,266141,1290000,국방부,2974,군무원인사법 시행령,20241029,제34967호,20241029,A0007,대통령령,13020200,第2節 軍務員人事
1252,266145,1290000,국방부,3010,군위탁생규정,20241029,제34968호,20241029,A0007,대통령령,13020104,第4款 服務·敎育訓練
1256,266179,1290000,국방부,6829,군인 등의 특수근무수당에 관한 규칙,20241029,제1161호,20241029,A0033,국방부령,13020103,第3款 報酬·手當·諸給與
2014,266125,1833100,국가유산청,3506,문화유산의 보존 및 활용에 관한 법률 시행령,20241029,제34971호,20241101,A0007,대통령령,17030000,第3章 文化財
2065,266111,1613000,국토교통부,4552,민간임대주택에 관한 특별법 시행령,20241029,제34973호,20241029,A0007,대통령령,34020000,第2章 住 宅
2066,266163,1613000,국토교통부,7899,민간임대주택에 관한 특별법 시행규칙,20241029,제1398호,20241029,A0103,국토교통부령,34020000,第2章 住 宅
2094,266121,1741000,행정안전부,3540,민원 처리에 관한 법률 시행령,20241029,제34969호,20241029,A0007,대통령령,4020000,第2章 行政作用一般
3215,266115,1721000,과학기술정보통신부,14760,양자과학기술 및 양자산업 육성에 관한 법률 시행령,20241029,제34964호,20241101,A0007,대통령령,18020000,第2章 科學技術振興
3216,266159,1721000,과학기술정보통신부,14764,양자과학기술 및 양자산업 육성에 관한 법률 시행규칙,20241029,제136호,20241101,A0106,과학기술정보통신부령,18020000,第2章 科學技術振興
3467,266113,1079960,원자력안전위원회,11484,원자력안전법 시행령,20241029,제34975호,20241101,A0007,대통령령,18030000,第3章 原子力
3586,266109,1352000 1790387,"보건복지부,질병관리청",4482,의료법 시행령,20241029,제34972호,20241029,A0007,대통령령,36030000,第3章 醫事·血液管理
4065,266117,1721000,과학기술정보통신부,12008,정보통신 진흥 및 융합 활성화 등에 관한 특별법 시행령,20241029,제34964호,20241101,A0007,대통령령,43030000,第3章 情報通信
4629,266139,1270000,법무부,5256,출입국관리법 시행령,20241029,제34966호,20241029,A0007,대통령령,7040000,第4章 國籍·出入國
4630,266161,1270000,법무부,8494,출입국관리법 시행규칙,20241029,제1083호,20241029,A0048,법무부령,7040000,第4章 國籍·出入國
657,266107,1051000,기획재정부,11318,관세법 제71조에 따른 할당관세의 적용에 관한 규정,20241028,제34963호,20241029,A0007,대통령령,21020000,第2章 關 稅
4495,266157,1450000,산업통상자원부,8396,집단에너지사업법 시행규칙,20241028,제577호,20241028,A0102,산업통상자원부령,31020000,第2章 에너지利用
466,266105,1613000,국토교통부,12644,공동주택관리법 시행령,20241025,제34961호,20241025,A0007,대통령령,34020000,第2章 住 宅
1374,266153,1360000,기상청,6881,기상법 시행규칙,20241025,제1125호,20241025,A0074,환경부령,18040000,第4章 天文·氣象
1379,266131,1360000,기상청,6883,기상청과 그 소속기관 직제 시행규칙,20241025,제1124호,20241025,A0074,환경부령,18010000,第1章 行政組織·通則
1419,266151,1192000 1360000,"기상청,해양수산부",14761,기후ㆍ기후변화 감시 및 예측 등에 관한 법률 시행규칙,20241025,제1125호,20241025,A0074,환경부령,18040000,第4章 天文·氣象
1801,266103,1613000,국토교통부,3400,도로법 시행령,20241025,제34962호,20241025,A0007,대통령령,34040100,第1節 通 則
1802,266133,1613000,국토교통부,7081,도로법 시행규칙,20241025,제1397호,20241025,A0103,국토교통부령,34040100,第1節 通 則
2038,266175,1480000,환경부,14762,물순환 촉진 및 지원에 관한 법률 시행규칙,20241025,제1123호,20241025,A0074,환경부령,39020000,第2章 環境保全
2738,266155,9760000,중앙선거관리위원회,6042,선거관리위원회 공무원 규칙,20241025,제609호,20241025,A0021,중앙선거관리위원회규칙,3010000,第1章 選擧管理委員會
3458,266147,1192000,해양수산부,10650,원양산업발전법 시행규칙,20241025,제697호,20241025,A0071,해양수산부령,27020000,第2章 水産振興
3587,266149,1352000 1790387,"보건복지부,질병관리청",7863,의료법 시행규칙,20241025,제1067호,20241025,A0050,보건복지부령,36030000,第3章 醫事·血液管理
5175,266129,1543000,농림축산식품부,11520,해외농업ㆍ산림자원 개발협력법 시행규칙,20241025,제686호,20241025,A0101,농림축산식품부령,24050100,第1節 通 則
1722,266127,1421000,중소벤처기업부,10273,대ㆍ중소기업 상생협력 촉진에 관한 법률 시행규칙,20241024,제94호,20241101,A0105,중소벤처기업부령,28020000,第2章 中小企業
19,265869,1371000,문화체육관광부,11532,2018 평창 동계올림픽대회 및 동계패럴림픽대회 지원 등에 관한 특별법,20241022,제20490호,20241022,A0002,법률,16070000,第7章 體育·靑少年育成
257,265811,1371000,문화체육관광부,10196,게임산업진흥에 관한 법률,20241022,제20485호,20241022,A0002,법률,17020000,第2章 文化·藝術
347,265805,1342000,교육부,899,고등교육법,20241022,제20466호,20241022,A0002,법률,16020100,第1節 通 則
514,265897,1371000,문화체육관광부,1613,공연법,20241022,제20487호,20241022,A0002,법률,17020000,第2章 文化·藝術
619,265829,1721000,과학기술정보통신부,767,과학관의 설립ㆍ운영 및 육성에 관한 법률,20241022,제20469호,20241022,A0002,법률,18020000,第2章 科學技術振興
626,266031,1721000,과학기술정보통신부,9810,과학기술분야 정부출연연구기관 등의 설립ㆍ운영 및 육성에 관한 법률 시행령,20241022,제34948호,20241101,A0007,대통령령,18020000,第2章 科學技術振興
680,265831,1721000,과학기술정보통신부,772,광주과학기술원법,20241022,제20470호,20241022,A0002,법률,18020000,第2章 科學技術振興
731,265807,1342000,교육부,12494,교육환경 보호에 관한 법률,20241022,제20467호,20241022,A0002,법률,16030000,第3章 學校保健
825,265903,1833100,국가유산청,11151,국가유산수리 등에 관한 법률,20241022,제20489호,20241022,A0002,법률,17030000,第3章 文化財
997,265863,1371000,문화체육관광부,1605,국민체육진흥법,20241022,제20490호,20241022,A0002,법률,16070000,第7章 體育·靑少年育成
1311,265959,1492000,고용노동부,1872,근로기준법,20241022,제20520호,20241022,A0002,법률,40030000,第3章 勤勞基準
1373,266025,1360000,기상청,3107,기상법 시행령,20241022,제34954호,20241025,A0007,대통령령,18040000,第4章 天文·氣象
1418,266023,1192000 1360000,"기상청,해양수산부",14758,기후ㆍ기후변화 감시 및 예측 등에 관한 법률 시행령,20241022,제34954호,20241025,A0007,대통령령,18040000,第4章 天文·氣象
1423,265925,1480000,환경부,14152,기후위기 대응을 위한 탄소중립ㆍ녹색성장 기본법,20241022,제20514호,20241022,A0002,법률,39020000,第2章 環境保全
1424,266027,1480000,환경부,14255,기후위기 대응을 위한 탄소중립ㆍ녹색성장 기본법 시행령,20241022,제34954호,20241025,A0007,대통령령,39020000,第2章 環境保全
1454,265999,1492000,고용노동부,130,남녀고용평등과 일ㆍ가정 양립 지원에 관한 법률,20241022,제20521호,20241022,A0002,법률,40030000,第3章 勤勞基準
1610,266013,1543000,농림축산식품부,3241,농업ㆍ농촌 및 식품산업 기본법 시행령,20241022,제34951호,20241025,A0007,대통령령,24050100,第1節 通 則
1671,265801,1721000,과학기술정보통신부,9580,대구경북과학기술원법,20241022,제20472호,20241022,A0002,법률,18020000,第2章 科學技術振興
1721,266039,1421000,중소벤처기업부,10213,대ㆍ중소기업 상생협력 촉진에 관한 법률 시행령,20241022,제34959호,20241101,A0007,대통령령,28020000,第2章 中小企業
1777,265915,1352000,보건복지부,207,대한적십자사 조직법,20241022,제20511호,20241022,A0002,법률,38010000,第1章 行政組織·通則
1936,265891,1352000 1471000,"보건복지부,식품의약품안전처",2025,마약류 관리에 관한 법률,20241022,제20512호,20241022,A0002,법률,37030000,第3章 麻藥등
2001,265895,1371000,문화체육관광부,10085,문화예술교육 지원법,20241022,제20494호,20241022,A0002,법률,16040000,第4章 學·藝術振興
2037,266055,1480000,환경부,14757,물순환 촉진 및 지원에 관한 법률 시행령,20241022,제34953호,20241025,A0007,대통령령,39020000,第2章 環境保全
2349,266041,1160100,금융위원회,3654,보험업법 시행령,20241022,제34960호,20241025,A0007,대통령령,23060000,第6章 保 險
2373,265865,1051000,기획재정부,9271,부담금관리 기본법,20241022,제20490호,20241022,A0002,법률,19020200,第2節 特別會計·基金
2532,265943,1352000,보건복지부,202,사회복지사업법,20241022,제20513호,20241022,A0002,법률,38020000,第2章 社會福祉通則
2689,265955,1480000,환경부,12239,생물자원관의 설립 및 운영에 관한 법률,20241022,제20516호,20241022,A0002,법률,39020000,第2章 環境保全
2777,265951,1192000,해양수산부,12248,선박의 입항 및 출항 등에 관한 법률,20241022,제20524호,20241022,A0002,법률,42030000,第3章 船 舶
2899,266057,1421000,중소벤처기업부,3945,소상공인 보호 및 지원에 관한 법률 시행령,20241022,제34957호,20241022,A0007,대통령령,28020000,第2章 中小企業
2934,265979,1480000,환경부,1818,수도법,20241022,제20517호,20241022,A0002,법률,33030200,第2節 都市計劃施設
2946,266001,1192000,해양수산부,11360,수산과학기술진흥을 위한 시험연구 등에 관한 법률,20241022,제20526호,20241022,A0002,법률,27020000,第2章 水産振興
2963,266007,1192000,해양수산부,4019,수산업법 시행령,20241022,제34947호,20241022,A0007,대통령령,27030000,第3章 水産業
2965,266015,1192000,해양수산부,12154,수산업ㆍ어촌 공익기능 증진을 위한 직접지불제도 운영에 관한 법률,20241022,제20527호,20241022,A0002,법률,27030000,第3章 水産業
2968,266017,1192000,해양수산부,12311,수산업ㆍ어촌 발전 기본법,20241022,제20528호,20241022,A0002,법률,27030000,第3章 水産業
3162,266003,1383000,여성가족부,5212,아동ㆍ청소년의 성보호에 관한 법률 시행령,20241022,제34955호,20241022,A0007,대통령령,16070000,第7章 體育·靑少年育成
3194,265945,1352000 1471000,"보건복지부,식품의약품안전처",1783,약사법,20241022,제20513호,20241022,A0002,법률,37020000,第2章 藥 事
3310,265847,1721000,과학기술정보통신부,9878,연구개발특구의 육성에 관한 특별법,20241022,제20477호,20241022,A0002,법률,18020000,第2章 科學技術振興
3344,266135,1342000,교육부,7739,영유아보육법 시행규칙,20241022,제341호,20241022,A0030,교육부령,38050000,第5章 兒童·老人·障碍者·母子福祉
3350,265907,1371000,문화체육관광부,10200,영화 및 비디오물의 진흥에 관한 법률,20241022,제20496호,20241022,A0002,법률,17020000,第2章 文化·藝術
3353,266021,1160100,금융위원회,1537,예금자보호법,20241022,제20530호,20241022,A0002,법률,23040000,第4章 金融機關·金融業
3439,266033,1721000,과학기술정보통신부,9746,우체국예금ㆍ보험에 관한 법률 시행령,20241022,제34949호,20241025,A0007,대통령령,43050000,第5章 遞信金融
3452,265813,1721000,과학기술정보통신부,10414,울산과학기술원법,20241022,제20479호,20241022,A0002,법률,16020300,第3節 學校의設置·施設
3457,266029,1192000,해양수산부,10647,원양산업발전법 시행령,20241022,제34956호,20241025,A0007,대통령령,27020000,第2章 水産振興
3534,266009,1450000,산업통상자원부,4388,유통산업발전법 시행령,20241022,제34947호,20241022,A0007,대통령령,28030000,第3章 商業·商工人團體
3563,265879,1371000,문화체육관광부,10197,음악산업진흥에 관한 법률,20241022,제20497호,20241022,A0002,법률,17020000,第2章 文化·藝術
3575,265893,1352000 1471000,"보건복지부,식품의약품안전처",9514,의료기기법,20241022,제20512호,20241022,A0002,법률,36030000,第3章 醫事·血液管理
3585,265947,1352000 1790387,"보건복지부,질병관리청",1788,의료법,20241022,제20513호,20241022,A0002,법률,36030000,第3章 醫事·血液管理
3810,265933,1352000,보건복지부,12441,장애인 건강권 및 의료접근성 보장에 관한 법률,20241022,제20509호,20241022,A0002,법률,38050000,第5章 兒童·老人·障碍者·母子福祉
3821,265917,1352000,보건복지부,12442,장애인ㆍ노인 등을 위한 보조기기 지원 및 활용촉진에 관한 법률,20241022,제20511호,20241022,A0002,법률,38050000,第5章 兒童·老人·障碍者·母子福祉
3830,265919,1352000,보건복지부,187,장애인복지법,20241022,제20511호,20241022,A0002,법률,38050000,第5章 兒童·老人·障碍者·母子福祉
3838,265921,1352000,보건복지부,11330,장애인활동 지원에 관한 법률,20241022,제20511호,20241022,A0002,법률,38050000,第5章 兒童·老人·障碍者·母子福祉
3935,266099,1450000,산업통상자원부,8034,전기공사업법 시행규칙,20241022,제576호,20241022,A0102,산업통상자원부령,32020000,第2章 電 氣
4086,265923,1352000,보건복지부,222,정신건강증진 및 정신질환자 복지서비스 지원에 관한 법률,20241022,제20511호,20241022,A0002,법률,36020300,第3節 豫防保健
4111,265909,1613000 1741000,"국토교통부,행정안전부",10162,제주특별자치도 설치 및 국제자유도시 조성을 위한 특별법,20241022,제20496호,20241022,A0002,법률,10020100,第1節 通 則
4556,265935,1352000 1471000,"보건복지부,식품의약품안전처",13572,첨단재생의료 및 첨단바이오의약품 안전 및 지원에 관한 법률,20241022,제20512호,20241022,A0002,법률,37020000,第2章 藥 事
4587,265937,1471000,식품의약품안전처,13481,체외진단의료기기법,20241022,제20512호,20241022,A0002,법률,36030000,第3章 醫事·血液管理
4617,265965,1471000,식품의약품안전처,1507,축산물 위생관리법,20241022,제20532호,20241022,A0002,법률,25040000,第4章 家畜衛生·畜産物檢査
5164,266011,1192000,해양수산부,10632,해양환경관리법 시행령,20241022,제34947호,20241022,A0007,대통령령,39020000,第2章 環境保全
5174,266035,1543000,농림축산식품부,11519,해외농업ㆍ산림자원 개발협력법 시행령,20241022,제34950호,20241025,A0007,대통령령,24050100,第1節 通 則
5333,265939,1471000,식품의약품안전처,2015,화장품법,20241022,제20512호,20241022,A0002,법률,37040000,第4章 化粧品
5381,265995,1480000,환경부,2016,환경영향평가법,20241022,제20518호,20241022,A0002,법률,39020000,第2章 環境保全
5424,266101,1352000 1790387,"보건복지부,질병관리청",12776,희귀질환관리법 시행규칙,20241022,제1066호,20241022,A0050,보건복지부령,36020300,第3節 豫防保健
1611,266097,1543000,농림축산식품부,6996,농업ㆍ농촌 및 식품산업 기본법 시행규칙,20241021,제685호,20241025,A0101,농림축산식품부령,24050100,第1節 通 則
5113,266095,1532000,해양경찰청,8669,해양경찰청 소속 경찰공무원 복제에 관한 규칙,20241021,제696호,20241021,A0071,해양수산부령,42010000,第1章 行政組織·通則
635,266063,1721000,과학기술정보통신부,14759,과학기술정보통신부장관의 소속 청장 지휘에 관한 규칙,20241018,제135호,20241018,A0106,과학기술정보통신부령,18010000,第1章 行政組織·通則
2913,266065,1450000,산업통상자원부,9206,소재ㆍ부품ㆍ장비산업 경쟁력 강화 및 공급망 안정화를 위한 특별조치법 시행규칙,20241018,제575호,20241018,A0102,산업통상자원부령,28050000,第5章 工 業
3196,266061,1352000,보건복지부,7669,약사법 시행규칙,20241018,제1065호,20241019,A0050,보건복지부령,37020000,第2章 藥 事
4119,266047,1480000,환경부,8198,제품의 포장재질ㆍ포장방법에 관한 기준 등에 관한 규칙,20241018,제1122호,20241018,A0074,환경부령,39030000,第3章 廢棄物管理
4845,266049,1342000,교육부,11764,학교체육 진흥법 시행규칙,20241018,제340호,20241018,A0030,교육부령,16070000,第7章 體育·靑少年育成
5309,265799,1270000,법무부,14751,형사사법절차에서의 전자문서 이용 등에 관한 법률 시행령,20241018,제34946호,20241020,A0007,대통령령,9030000,第3章 刑事節次
975,266045,1030000 1092000,"국가정보원,국무조정실",12575,국민보호와 공공안전을 위한 테러방지법 시행규칙,20241017,제1988호,20241017,A0009,총리령,4010200,第2節 大統領所屬機關
1965,266043,1613000,국토교통부,14522,모빌리티 혁신 및 활성화 지원에 관한 법률 시행규칙,20241017,제1396호,20241019,A0103,국토교통부령,41070000,第7章 物 流
160,265821,1160100,금융위원회,14750,개인금융채권의 관리 및 개인금융채무자의 보호에 관한 법률 시행령,20241016,제34945호,20241017,A0007,대통령령,8010000,第1章 民 法
197,265797,1613000,국토교통부,6184,건설산업기본법 시행규칙,20241016,제1395호,20241016,A0103,국토교통부령,35040100,第1節 建設業
1792,265725,1721000,과학기술정보통신부,14270,데이터 산업진흥 및 이용촉진에 관한 기본법 시행령,20241016,제34942호,20241016,A0007,대통령령,18020000,第2章 科學技術振興
1964,265723,1613000,국토교통부,14501,모빌리티 혁신 및 활성화 지원에 관한 법률 시행령,20241016,제34944호,20241019,A0007,대통령령,41070000,第7章 物 流
2253,265769,9740000,대법원,1710,법원조직법,20241016,제20465호,20241016,A0002,법률,6010000,第1章 組 織
2813,265791,1383000,여성가족부,11185,성폭력방지 및 피해자보호 등에 관한 법률,20241016,제20461호,20241016,A0002,법률,38050000,第5章 兒童·老人·障碍者·母子福祉
2817,265789,1270000,법무부,11187,성폭력범죄의 처벌 등에 관한 특례법,20241016,제20459호,20241016,A0002,법률,9010000,第1章 刑 法
3161,265781,1383000,여성가족부,2044,아동ㆍ청소년의 성보호에 관한 법률,20241016,제20462호,20241016,A0002,법률,16070000,第7章 體育·靑少年育成
3195,265763,1352000 1471000,"보건복지부,식품의약품안전처",4138,약사법 시행령,20241016,제34943호,20241019,A0007,대통령령,37020000,第2章 藥 事
3438,265787,1721000,과학기술정보통신부,16,우체국예금ㆍ보험에 관한 법률,20241016,제20457호,20241025,A0002,법률,43050000,第5章 遞信金融
1344,265721,1160100 1741000,"금융위원회,행정안전부",10674,금융위원회와 그 소속기관 직제,20241015,제34941호,20241015,A0007,대통령령,23010000,第1章 行政組織·通則
1345,265819,1160100,금융위원회,10690,금융위원회와 그 소속기관 직제 시행규칙,20241015,제1989호,20241015,A0009,총리령,23010000,第1章 行政組織·通則
4103,265795,1352000,보건복지부,11416,제대혈 관리 및 연구에 관한 법률 시행규칙,20241014,제1064호,20241014,A0050,보건복지부령,36030000,第3章 醫事·血液管理
4238,265815,1421000,중소벤처기업부,8261,중소기업진흥에 관한 법률 시행규칙,20241014,제93호,20241101,A0105,중소벤처기업부령,28020000,第2章 中小企業
4247,265817,1421000,중소벤처기업부,12954,중소벤처기업부와 그 소속기관 직제 시행규칙,20241014,제93호,20241101,A0105,중소벤처기업부령,28010000,第1章 行政組織·通則
5298,265793,1352000,보건복지부,8732,혈액관리법 시행규칙,20241014,제1063호,20241014,A0050,보건복지부령,36030000,第3章 醫事·血液管理
5350,265717,1480000,환경부,12201,화학물질의 등록 및 평가 등에 관한 법률 시행규칙,20241010,제1121호,20241010,A0074,환경부령,39020000,第2章 環境保全
712,265687,1342000,교육부,2583,교육공무원임용령,20241008,제34930호,20241008,A0007,대통령령,16020501,第1款 敎育公務員
804,265695,1830000,국가보훈부,10074,국가보훈위원회 규정,20241008,제34934호,20241008,A0007,대통령령,15020000,第2章 國家報勳
812,265737,1721000,과학기술정보통신부,13933,국가연구개발혁신법 시행령,20241008,제34936호,20241008,A0007,대통령령,18020000,第2章 科學技術振興
1019,265613,1290000,국방부,2854,국방대학교 설치법 시행령,20241008,제34932호,20241008,A0007,대통령령,13010000,第1章 行政組織·通則
1635,265699,1543000,농림축산식품부,12301,농촌융복합산업 육성 및 지원에 관한 법률 시행령,20241008,제34940호,20241101,A0007,대통령령,24050100,第1節 通 則
1710,265735,1450000,산업통상자원부,3313,대외무역법 시행령,20241008,제34936호,20241008,A0007,대통령령,28040000,第4章 貿 易
2155,265739,1290000 1450000 1690000,"국방부,방위사업청,산업통상자원부",10126,방위사업법 시행령,20241008,제34936호,20241008,A0007,대통령령,13040000,第4章 軍需·財務
2484,265689,1342000,교육부,3727,사립학교법 시행령,20241008,제34931호,20241008,A0007,대통령령,16020400,第4節 私立學校
2623,265741,1450000 1741000,"산업통상자원부,행정안전부",11781,산업통상자원부와 그 소속기관 직제,20241008,제34936호,20241008,A0007,대통령령,28010000,第1章 行政組織·通則
2669,265691,1741000,행정안전부,3830,새마을금고법 시행령,20241008,제34933호,20241008,A0007,대통령령,10060000,第6章 地域開發
3235,265693,1192000,해양수산부,13840,어선안전조업법 시행령,20241008,제34939호,20241008,A0007,대통령령,27060000,第6章 漁港·漁船
3403,265743,1450000,산업통상자원부,4270,외국인투자 촉진법 시행령,20241008,제34936호,20241008,A0007,대통령령,19090200,第2節 外資導入·管理
3567,265705,1352000,보건복지부,4480,응급의료에 관한 법률 시행령,20241008,제34937호,20241008,A0007,대통령령,36030000,第3章 醫事·血液管理
3926,265707,1352000,보건복지부,12702,전공의의 수련환경 개선 및 지위 향상을 위한 법률 시행령,20241008,제34938호,20241008,A0007,대통령령,36030000,第3章 醫事·血液管理
4134,265701,1051000 1741000,"기획재정부,행정안전부",4920,조세특례제한법 시행령,20241008,제34940호,20241101,A0007,대통령령,20020000,第2章 租稅通則
4234,265703,1421000,중소벤처기업부,11101,중소기업제품 구매촉진 및 판로지원에 관한 법률 시행령,20241008,제34940호,20241101,A0007,대통령령,28020000,第2章 中小企業
4237,265697,1421000,중소벤처기업부,4972,중소기업진흥에 관한 법률 시행령,20241008,제34940호,20241101,A0007,대통령령,28020000,第2章 中小企業
4600,265685,1342000,교육부,5238,초ㆍ중등교육법 시행령,20241008,제34929호,20241008,A0007,대통령령,16020100,第1節 通 則
5195,265745,1741000,행정안전부,5612,행정권한의 위임 및 위탁에 관한 규정,20241008,제34936호,20241008,A0007,대통령령,4010100,第1節 通 則
5343,265747,1450000,산업통상자원부,5671,화학무기ㆍ생물무기의 금지와 특정화학물질ㆍ생물작용제 등의 제조ㆍ수출입 규제 등에 관한 법률 시행령,20241008,제34936호,20241008,A0007,대통령령,28050000,第5章 工 業
3102,265759,1471000,식품의약품안전처,11803,식품의약품안전처와 그 소속기관 직제 시행규칙,20241007,제1986호,20241007,A0009,총리령,36010000,第1章 行政組織·通則
8,265713,1661000,소방청,11457,119구조ㆍ구급에 관한 법률 시행규칙,20241004,제520호,20241004,A0107,행정안전부령,12020300,第3節 消 防
959,265715,1352000,보건복지부,6696,국민건강보험법 시행규칙,20241004,제1061호,20241004,A0050,보건복지부령,38060000,第6章 社會保險
1409,265709,1352000,보건복지부,12097,기초연금법 시행규칙,20241004,제1060호,20241004,A0050,보건복지부령,38060000,第6章 社會保險
2276,265755,1170000,법제처,7233,법제처 직제 시행규칙,20241004,제1987호,20241004,A0009,총리령,4010300,第3節 國務總理所屬機關
2903,265749,9740000,대법원,5898,소송촉진 등에 관한 특례규칙,20241004,제3163호,20241004,A0022,대법원규칙,8030100,第1節 民事訴訟·行政訴訟
5307,265751,9740000,대법원,14749,형사사법절차에서의 전자문서 이용 등에 관한 규칙,20241004,제3164호,20241020,A0022,대법원규칙,9030000,第3章 刑事節次
700,265627,1342000,교육부,2569,교원자격검정령,20241002,제34925호,20241002,A0007,대통령령,16020502,第2款 敎員의資格檢·認定
958,265609,1352000,보건복지부,2813,국민건강보험법 시행령,20241002,제34927호,20241002,A0007,대통령령,38060000,第6章 社會保險
3571,265683,1352000,보건복지부,4487,의료급여법 시행령,20241002,제34928호,20241002,A0007,대통령령,38030000,第3章 生活保護
3916,265625,1371000,문화체육관광부,4680,저작권법 시행령,20241002,제34926호,20241002,A0007,대통령령,17040200,第2節 著作權
2339,265607,1741000,행정안전부,10859,보양온천의 지정 및 관리에 관한 규칙,20240930,제519호,20241001,A0107,행정안전부령,10060000,第6章 地域開發
2458,265681,1613000,국토교통부,13080,빈집 및 소규모주택 정비에 관한 특례법 시행규칙,20240930,제1393호,20240930,A0103,국토교통부령,33030300,第3節 都市開發
2704,265623,1160100,금융위원회,12665,서민의 금융생활 지원에 관한 법률 시행령,20240930,제34924호,20240930,A0007,대통령령,23040000,第4章 金融機關·金融業
3281,265603,1383000,여성가족부,9973,여성가족부 직제 시행규칙,20240930,제208호,20240930,A0058,여성가족부령,38010000,第1章 行政組織·通則
4178,265605,1613000,국토교통부,8243,주택공급에 관한 규칙,20240930,제1391호,20241101,A0103,국토교통부령,34020000,第2章 住 宅
463,265671,1051000,기획재정부,10568,공기업ㆍ준정부기관 계약사무규칙,20240927,제586호,20240927,A0035,기획재정부령,19070000,第7章 政府投資機關管理
3134,265597,1320000,경찰청,10077,실종아동등의 발견 및 유전자검사 등에 관한 규칙,20240927,제518호,20240927,A0107,행정안전부령,38050000,第5章 兒童·老人·障碍者·母子福祉
3388,265599,1262000,외교부,14748,외교부장관의 소속 청장에 대한 지휘 등에 관한 규칙,20240927,제139호,20240927,A0099,외교부령,44020000,第2章 外務公務員
3805,265673,1342000 1352000,"교육부,보건복지부",11669,장애아동 복지지원법 시행규칙,20240927,제1058호,20240927,A0050,보건복지부령,38050000,第5章 兒童·老人·障碍者·母子福祉
4547,265675,1613000,국토교통부,10019,철도안전법 시행규칙,20240927,제1392호,20240927,A0103,국토교통부령,41030100,第1節 鐵道運送
4828,265601,1383000,여성가족부,12299,학교 밖 청소년 지원에 관한 법률 시행규칙,20240927,제209호,20240927,A0058,여성가족부령,16070000,第7章 體育·靑少年育成
